,Date,Course_x,Number_x,Class_x,Ins_x,Course_y,Number_y,Class_y,Ins_y,Course,Number,Class,Ins
122,2018-10-07,,,,,,,,,Summer3,23.0,System Design 2,Zhao
123,2018-10-08,,,,,,,,,Summer3,24.0,加强 2,Sun
124,2018-10-10,,,,,,,,,Summer3,25.0,System Design 3,Zhao
125,2018-10-12,,,,,,,,,Summer3,26.0,System Design 4,Zhao
126,2018-10-13,,,,,,,,,Summer3,27.0,加强 3,Sun
127,2018-10-14,,,,,,,,,Summer3,28.0,System Design 5,Zhao
128,2018-10-15,,,,,,,,,Summer3,29.0,加强 4,Sun
129,2018-10-17,,,,,,,,,Summer3,30.0,System Design 6,Zhao
130,2018-10-19,,,,,,,,,Summer3,23.0,Practice 24: Excercise 7,Jin
131,2018-10-20,,,,,,,,,Summer3,31.0,加强 5,Sun
132,2018-10-21,,,,,,,,,Summer3,32.0,Behavorial,Jon
133,2018-10-22,,,,,,,,,Summer3,33.0,加强 6,Sun
134,2018-10-24,,,,,,,,,Summer3,34.0,加强 7,Sun
135,2018-10-26,,,,,,,,,Summer3,35.0,加强 8,Sun
